date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:01	329/329	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Sep%202018%2011:16:01%20GMT	http://localhost/pius	C:/My%20Web%20Sites/Profile/localhost/pius.0.delayed	(from )
14:16:03	18415/18415	---MC-	200	added ('OK')	text/html	date:Mon,%2017%20Sep%202018%2011:16:02%20GMT	http://localhost/pius/	C:/My%20Web%20Sites/Profile/localhost/pius/index.html	(from )
14:16:04	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Sep%202018%2011:16:02%20GMT	http://localhost/robots.txt		(from )
14:16:04	31089/31089	---M--	200	added ('OK')	text/css	etag:%227971-5751bc931aa2c%22	http://localhost/pius/wp-content/themes/oceanwp/assets/css/third/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/Profile/localhost/pius/wp-content/themes/oceanwp/assets/css/third/font-awesome.min1849.css	(from http://localhost/pius/)
14:16:05	4485/4485	---M--	200	added ('OK')	application/rss+xml	etag:%22dd5c0bf1b55d1655f59ae426060612b2%22	http://localhost/pius/feed/	C:/My%20Web%20Sites/Profile/localhost/pius/feed/index.html	(from http://localhost/pius/)
14:16:05	10909/10909	---M--	200	added ('OK')	text/css	etag:%222a9d-5751bc932bbc0%22	http://localhost/pius/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min.css?ver=2.4.0	C:/My%20Web%20Sites/Profile/localhost/pius/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css	(from http://localhost/pius/)
14:16:05	728/728	---M--	200	added ('OK')	application/rss+xml	etag:%2201f6230a83578a7d5ad74c23e41caa6a%22	http://localhost/pius/comments/feed/	C:/My%20Web%20Sites/Profile/localhost/pius/comments/feed/index.html	(from http://localhost/pius/)
14:16:05	5213/5213	---M--	200	added ('OK')	text/css	etag:%22145d-5751bc9320be2%22	http://localhost/pius/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min.css?ver=1.0.0	C:/My%20Web%20Sites/Profile/localhost/pius/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min8a54.css	(from http://localhost/pius/)
14:16:06	1575/1575	---M--	200	added ('OK')	text/css	etag:%22627-5751bc9331d76%22	http://localhost/pius/wp-content/themes/oceanwp/assets/css/third/slick.min.css?ver=1.6.0	C:/My%20Web%20Sites/Profile/localhost/pius/wp-content/themes/oceanwp/assets/css/third/slick.minaff7.css	(from http://localhost/pius/)
14:16:06	155260/155260	---M--	200	added ('OK')	text/css	etag:%2225e7c-5751bc92f5fc3%22	http://localhost/pius/wp-content/themes/oceanwp/assets/css/style.min.css?ver=1.5.27	C:/My%20Web%20Sites/Profile/localhost/pius/wp-content/themes/oceanwp/assets/css/style.min6614.css	(from http://localhost/pius/)
